Position,URL,Min. Salary,Max. Salary,Currency,Website
Java разработчик,https://hh.ru/vacancy/50101570?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,hh.ru
Java-разработчик,https://hh.ru/vacancy/49831985?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,hh.ru
Frontend-разработчик,https://hh.ru/vacancy/48052261?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,hh.ru
Junior Unity Developer,https://hh.ru/vacancy/49273013?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,45000,70000,руб,hh.ru
Android разработчик,https://hh.ru/vacancy/47579927?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,hh.ru
Java Разработчик,https://hh.ru/vacancy/46560669?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,hh.ru
Java Backend Developer,https://hh.ru/vacancy/51495567?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,hh.ru
Java-разработчик,https://hh.ru/vacancy/50539924?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,hh.ru
"Front-End разработчик (Vue.js, Typescript, SPA), удалённо",https://hh.ru/vacancy/50535320?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,5000,,USD,hh.ru
Junior Scala Developer,https://hh.ru/vacancy/51430860?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,500,,USD,hh.ru
Junior Unity Developer,https://hh.ru/vacancy/49273011?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,45000,70000,руб,hh.ru
Junior PHP разработчик,https://hh.ru/vacancy/50503738?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,800,,USD,hh.ru
JavaScript разработчик (React),https://hh.ru/vacancy/51340033?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,hh.ru
Разработчик интерфейсов/Frontend-разработчик в SberDevices,https://hh.ru/vacancy/47180084?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,hh.ru
Java-разработчик,https://hh.ru/vacancy/50638003?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,hh.ru
"Tech Lead/Senior Unity, VR",https://hh.ru/vacancy/51552082?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,5400,USD,hh.ru
Mentor / Frontend developer Vue.js,https://hh.ru/vacancy/51318520?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,3500,,USD,hh.ru
Java-разработчик,https://hh.ru/vacancy/48831794?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,hh.ru
Java Разработчик,https://hh.ru/vacancy/48320452?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,hh.ru
Middle React (Web) Developer,https://hh.ru/vacancy/51368432?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,160000,200000,руб,hh.ru
Программист C++,superjob.ru/vakansii/programmist-c-39176708.html,,240000,руб,superjob.ru
Программист станков с ЧПУ / Инженер-технолог,superjob.ru/vakansii/programmist-stankov-s-chpu-41202129.html,,,,superjob.ru
Программист / Разработчик C# (удаленно),superjob.ru/vakansii/programmist-40976515.html,,,,superjob.ru
Ведущий разработчик Python,superjob.ru/vakansii/veduschij-razrabotchik-python-40976191.html,,,,superjob.ru
Программист 1С,superjob.ru/vakansii/programmist-1s-41312221.html,,,,superjob.ru
Разработчик (Angular),superjob.ru/vakansii/razrabotchik-41311825.html,110000,,руб,superjob.ru
Программист 1С,superjob.ru/vakansii/programmist-1s-40976142.html,,,,superjob.ru
Программист 1С,superjob.ru/vakansii/programmist-1s-41311643.html,,206000,руб,superjob.ru
Программист 1С (бухгалтерия и ЗУП),superjob.ru/vakansii/programmist-1s-40976003.html,,,,superjob.ru
Веб-разработчик (1С-Битрикс),superjob.ru/vakansii/veb-razrabotchik-28120230.html,,,,superjob.ru
Разработчик Java,superjob.ru/vakansii/razrabotchik-java-41311011.html,,,,superjob.ru
Инженер-программист станков с ЧПУ / Технолог-программист ЧПУ,superjob.ru/vakansii/inzhener-programmist-stankov-s-chpu-32488367.html,140000,,руб,superjob.ru
Unity-программист,superjob.ru/vakansii/unity-programmist-40975576.html,,,,superjob.ru
Программист 1С 8,superjob.ru/vakansii/programmist-1s-8-33862097.html,,,,superjob.ru
Ведущий разработчик С++/Qt,superjob.ru/vakansii/veduschij-razrabotchik-s-41309095.html,,120000,руб,superjob.ru
Программист 1С,superjob.ru/vakansii/programmist-1s-40974649.html,120000,130000,руб,superjob.ru
Frontend developer (VUE),superjob.ru/vakansii/frontend-developer-40902995.html,,,,superjob.ru
Frontend Developer (ReactJS),superjob.ru/vakansii/frontend-developer-40903075.html,,,,superjob.ru
Программист SQL (OLAP-кубы),superjob.ru/vakansii/programmist-sql-41200654.html,150000,,руб,superjob.ru
Программист PLC,superjob.ru/vakansii/programmist-plc-41306259.html,80000,100000,руб,superjob.ru
